Mean times:
linMINLP_times: 0.05411
lin_ADM_nullspace_times: 0.00486
lin_ADM_rand_times: 0.00664
lin_ADM_zero_times: 0.00514
lin_GOADM_nullspace_times: 0.00922
lin_GOADM_rand_times: 0.01616
lin_GOADM_zero_times: 0.00907
nonlinMINLP_times: 0.59617
nonlin_ADM_nullspace_times: 0.00773
nonlin_ADM_rand_times: 0.01155
nonlin_ADM_zero_times: 0.00921
nonlin_GOADM_nullspace_times: 0.01564
nonlin_GOADM_rand_times: 0.02456
nonlin_GOADM_zero_times: 0.01616
Median times:
linMINLP_times: 0.054
lin_ADM_nullspace_times: 0.0045
lin_ADM_rand_times: 0.006
lin_ADM_zero_times: 0.005
lin_GOADM_nullspace_times: 0.008
lin_GOADM_rand_times: 0.01
lin_GOADM_zero_times: 0.008
nonlinMINLP_times: 0.6
nonlin_ADM_nullspace_times: 0.007
nonlin_ADM_rand_times: 0.011
nonlin_ADM_zero_times: 0.008
nonlin_GOADM_nullspace_times: 0.014
nonlin_GOADM_rand_times: 0.018
nonlin_GOADM_zero_times: 0.015
